evidence_id,alert_id,evidence_type,created_at,source,description,hash
EVD-00035,ALT-000015,Process Tree & Hash,2026-09-03 09:30:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from AST-IDENTITY-015 during investigation of DET-T1078-Valid_Accounts_75,d8f179e6e54a7dc8
EVD-00036,ALT-000015,PCAP Stream,2026-09-03 09:24:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from AST-IDENTITY-015 during investigation of DET-T1078-Valid_Accounts_75,242258f49162502c
EVD-00037,ALT-000015,Authentication Token,2026-09-03 09:22:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-IDENTITY-015 during investigation of DET-T1078-Valid_Accounts_75,b479bc959680073b
EVD-00038,ALT-000015,Registry Modification,2026-09-03 09:30:00,Active Directory Security Log 4624,Verified Registry Modification captured from AST-IDENTITY-015 during investigation of DET-T1078-Valid_Accounts_75,7a5a3732a4a6c542
EVD-00039,ALT-000015,Memory Extraction,2026-09-03 09:23:00,CloudTrail API Audit,Verified Memory Extraction captured from AST-IDENTITY-015 during investigation of DET-T1078-Valid_Accounts_75,6e4170484e6205c6
EVD-00040,ALT-000018,Registry Modification,2026-08-05 08:29:00,Active Directory Security Log 4624,Verified Registry Modification captured from SRV-DATABASE-081 during investigation of DET-T1059-Command_and_Scripting_Interpreter_31,8baf11b25ac0ba4f
EVD-00041,ALT-000018,Memory Extraction,2026-08-05 08:27:00,CloudTrail API Audit,Verified Memory Extraction captured from SRV-DATABASE-081 during investigation of DET-T1059-Command_and_Scripting_Interpreter_31,7660a33590d0603b
EVD-00042,ALT-000018,Process Tree & Hash,2026-08-05 08:36:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from SRV-DATABASE-081 during investigation of DET-T1059-Command_and_Scripting_Interpreter_31,a817c62278b897ca
EVD-00043,ALT-000018,PCAP Stream,2026-08-05 08:39:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from SRV-DATABASE-081 during investigation of DET-T1059-Command_and_Scripting_Interpreter_31,9990f01cb69a0c11
EVD-00063,ALT-000027,Authentication Token,2026-07-29 22:20:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-API-180 during investigation of DET-T1110-Brute_Force_83,7622b56b4b5aad58
EVD-00064,ALT-000027,Registry Modification,2026-07-29 22:33:00,Active Directory Security Log 4624,Verified Registry Modification captured from AST-API-180 during investigation of DET-T1110-Brute_Force_83,acb7863a999ce66f
EVD-00065,ALT-000027,Memory Extraction,2026-07-29 22:23:00,CloudTrail API Audit,Verified Memory Extraction captured from AST-API-180 during investigation of DET-T1110-Brute_Force_83,70ec551334c72085
EVD-00112,ALT-000052,Authentication Token,2026-06-15 06:45:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-IDENTITY-063 during investigation of DET-T1567-Exfiltration_Over_Web_Service_40,bb0ab19f04a51d47
EVD-00113,ALT-000052,Registry Modification,2026-06-15 06:37:00,Active Directory Security Log 4624,Verified Registry Modification captured from AST-IDENTITY-063 during investigation of DET-T1567-Exfiltration_Over_Web_Service_40,11f4a00bebaf6e05
EVD-00114,ALT-000052,Memory Extraction,2026-06-15 06:31:00,CloudTrail API Audit,Verified Memory Extraction captured from AST-IDENTITY-063 during investigation of DET-T1567-Exfiltration_Over_Web_Service_40,0534e2a6974e5dff
EVD-00115,ALT-000052,Process Tree & Hash,2026-06-15 06:32:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from AST-IDENTITY-063 during investigation of DET-T1567-Exfiltration_Over_Web_Service_40,3ce39337cce08272
EVD-00328,ALT-000150,Process Tree & Hash,2026-06-30 10:42:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from AST-API-116 during investigation of DET-T1566-Phishing_32,0910d5f785239fe6
