asset_id,asset_name,asset_type,criticality,business_impact
AST-0001,SRV-DATABASE-001,Database Server,Critical,Catastrophic Business Impact
AST-0002,AST-PAYMENT-002,Payment Gateway,Critical,Catastrophic Business Impact
AST-0003,AST-WORKSTATION-003,Workstation,Critical,Catastrophic Business Impact
AST-0004,AST-API-004,API Gateway,Critical,Catastrophic Business Impact
AST-0005,AST-CLOUD-005,Cloud Storage Bucket,Critical,Catastrophic Business Impact
AST-0006,AST-FIREWALL-006,Firewall Appliance,Critical,Catastrophic Business Impact
AST-0007,AST-IDENTITY-007,Identity Provider (IdP),Critical,Catastrophic Business Impact
AST-0008,SRV-DOMAIN-008,Domain Controller,Critical,Catastrophic Business Impact
AST-0009,SRV-DATABASE-009,Database Server,Critical,Catastrophic Business Impact
AST-0010,AST-PAYMENT-010,Payment Gateway,Critical,Catastrophic Business Impact
AST-0011,AST-WORKSTATION-011,Workstation,Critical,Catastrophic Business Impact
AST-0012,AST-API-012,API Gateway,Critical,Catastrophic Business Impact
AST-0013,AST-CLOUD-013,Cloud Storage Bucket,Critical,Catastrophic Business Impact
AST-0014,AST-FIREWALL-014,Firewall Appliance,Critical,Catastrophic Business Impact
AST-0015,AST-IDENTITY-015,Identity Provider (IdP),Critical,Catastrophic Business Impact
AST-0016,SRV-DOMAIN-016,Domain Controller,Critical,Catastrophic Business Impact
AST-0017,SRV-DATABASE-017,Database Server,Critical,Catastrophic Business Impact
AST-0018,AST-PAYMENT-018,Payment Gateway,Critical,Catastrophic Business Impact
AST-0019,AST-WORKSTATION-019,Workstation,Critical,Catastrophic Business Impact
AST-0020,AST-API-020,API Gateway,Critical,Catastrophic Business Impact
AST-0021,AST-CLOUD-021,Cloud Storage Bucket,Critical,Catastrophic Business Impact
AST-0022,AST-FIREWALL-022,Firewall Appliance,Critical,Catastrophic Business Impact
AST-0023,AST-IDENTITY-023,Identity Provider (IdP),Critical,Catastrophic Business Impact
AST-0024,SRV-DOMAIN-024,Domain Controller,Critical,Catastrophic Business Impact
AST-0025,SRV-DATABASE-025,Database Server,Critical,Catastrophic Business Impact
AST-0026,AST-PAYMENT-026,Payment Gateway,Critical,Catastrophic Business Impact
AST-0027,AST-WORKSTATION-027,Workstation,Critical,Catastrophic Business Impact
AST-0028,AST-API-028,API Gateway,Critical,Catastrophic Business Impact
AST-0029,AST-CLOUD-029,Cloud Storage Bucket,Critical,Catastrophic Business Impact
AST-0030,AST-FIREWALL-030,Firewall Appliance,Critical,Catastrophic Business Impact
AST-0031,AST-IDENTITY-031,Identity Provider (IdP),Critical,Catastrophic Business Impact
AST-0032,SRV-DOMAIN-032,Domain Controller,Critical,Catastrophic Business Impact
AST-0033,SRV-DATABASE-033,Database Server,Critical,Catastrophic Business Impact
AST-0034,AST-PAYMENT-034,Payment Gateway,Critical,Catastrophic Business Impact
AST-0035,AST-WORKSTATION-035,Workstation,Critical,Catastrophic Business Impact
AST-0036,AST-API-036,API Gateway,Critical,Catastrophic Business Impact
AST-0037,AST-CLOUD-037,Cloud Storage Bucket,Critical,Catastrophic Business Impact
AST-0038,AST-FIREWALL-038,Firewall Appliance,Critical,Catastrophic Business Impact
AST-0039,AST-IDENTITY-039,Identity Provider (IdP),Critical,Catastrophic Business Impact
AST-0040,SRV-DOMAIN-040,Domain Controller,Critical,Catastrophic Business Impact
AST-0041,SRV-DATABASE-041,Database Server,Critical,Catastrophic Business Impact
AST-0042,AST-PAYMENT-042,Payment Gateway,Critical,Catastrophic Business Impact
AST-0043,AST-WORKSTATION-043,Workstation,Critical,Catastrophic Business Impact
AST-0044,AST-API-044,API Gateway,Critical,Catastrophic Business Impact
AST-0045,AST-CLOUD-045,Cloud Storage Bucket,Critical,Catastrophic Business Impact
AST-0046,AST-FIREWALL-046,Firewall Appliance,Critical,Catastrophic Business Impact
AST-0047,AST-IDENTITY-047,Identity Provider (IdP),Critical,Catastrophic Business Impact
AST-0048,SRV-DOMAIN-048,Domain Controller,Critical,Catastrophic Business Impact
AST-0049,SRV-DATABASE-049,Database Server,Critical,Catastrophic Business Impact
AST-0050,AST-PAYMENT-050,Payment Gateway,Critical,Catastrophic Business Impact
AST-0051,AST-WORKSTATION-051,Workstation,High,Severe Operational Interruption
AST-0052,AST-API-052,API Gateway,High,Severe Operational Interruption
AST-0053,AST-CLOUD-053,Cloud Storage Bucket,High,Severe Operational Interruption
AST-0055,AST-IDENTITY-055,Identity Provider (IdP),High,Severe Operational Interruption
AST-0056,SRV-DOMAIN-056,Domain Controller,High,Severe Operational Interruption
AST-0057,SRV-DATABASE-057,Database Server,High,Severe Operational Interruption
AST-0058,AST-PAYMENT-058,Payment Gateway,High,Severe Operational Interruption
AST-0059,AST-WORKSTATION-059,Workstation,High,Severe Operational Interruption
AST-0060,AST-API-060,API Gateway,High,Severe Operational Interruption
AST-0061,AST-CLOUD-061,Cloud Storage Bucket,High,Severe Operational Interruption
AST-0062,AST-FIREWALL-062,Firewall Appliance,High,Severe Operational Interruption
AST-0063,AST-IDENTITY-063,Identity Provider (IdP),High,Severe Operational Interruption
AST-0064,SRV-DOMAIN-064,Domain Controller,High,Severe Operational Interruption
AST-0065,SRV-DATABASE-065,Database Server,High,Severe Operational Interruption
AST-0066,AST-PAYMENT-066,Payment Gateway,High,Severe Operational Interruption
AST-0067,AST-WORKSTATION-067,Workstation,High,Severe Operational Interruption
AST-0068,AST-API-068,API Gateway,High,Severe Operational Interruption
AST-0069,AST-CLOUD-069,Cloud Storage Bucket,High,Severe Operational Interruption
AST-0070,AST-FIREWALL-070,Firewall Appliance,High,Severe Operational Interruption
AST-0071,AST-IDENTITY-071,Identity Provider (IdP),High,Severe Operational Interruption
AST-0072,SRV-DOMAIN-072,Domain Controller,High,Severe Operational Interruption
AST-0073,SRV-DATABASE-073,Database Server,High,Severe Operational Interruption
AST-0074,AST-PAYMENT-074,Payment Gateway,High,Severe Operational Interruption
AST-0075,AST-WORKSTATION-075,Workstation,High,Severe Operational Interruption
AST-0076,AST-API-076,API Gateway,High,Severe Operational Interruption
AST-0077,AST-CLOUD-077,Cloud Storage Bucket,High,Severe Operational Interruption
AST-0078,AST-FIREWALL-078,Firewall Appliance,High,Severe Operational Interruption
AST-0079,AST-IDENTITY-079,Identity Provider (IdP),High,Severe Operational Interruption
