evidence_id,alert_id,evidence_type,created_at,source,description,hash
EVD-00001,ALT-000001,PCAP Stream,2026-07-19 20:13:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from AST-CLOUD-029 during investigation of DET-T1078-Valid_Accounts_30",353c18b86364dd36
EVD-00002,ALT-000001,Authentication Token,2026-07-19 20:10:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-CLOUD-029 during investigation of DET-T1078-Valid_Accounts_30",ba604feb13d62de8
EVD-00003,ALT-000001,Registry Modification,2026-07-19 20:18:00,Active Directory Security Log 4624,"Verified Registry Modification captured from AST-CLOUD-029 during investigation of DET-T1078-Valid_Accounts_30",a871201adbf30367
EVD-00004,ALT-000002,Authentication Token,2026-07-06 18:01:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-API-276 during investigation of DET-T1021-Remote_Services_34",89fb478cf4958db1
EVD-00005,ALT-000002,Registry Modification,2026-07-06 17:38:00,Active Directory Security Log 4624,"Verified Registry Modification captured from AST-API-276 during investigation of DET-T1021-Remote_Services_34",5791aa7121bcfb71
EVD-00006,ALT-000002,Memory Extraction,2026-07-06 17:40:00,CloudTrail API Audit,"Verified Memory Extraction captured from AST-API-276 during investigation of DET-T1021-Remote_Services_34",7e679a9f133de4ad
EVD-00007,ALT-000005,Process Tree & Hash,2026-07-27 21:47:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from AST-PAYMENT-058 during investigation of DET-T1110-Brute_Force_38",d29bffead198b885
EVD-00008,ALT-000005,PCAP Stream,2026-07-27 21:21:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from AST-PAYMENT-058 during investigation of DET-T1110-Brute_Force_38",214b955082464e25
EVD-00009,ALT-000005,Authentication Token,2026-07-27 21:34:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-PAYMENT-058 during investigation of DET-T1110-Brute_Force_38",c0d0bfb97fd9a181
EVD-00010,ALT-000005,Registry Modification,2026-07-27 21:47:00,Active Directory Security Log 4624,"Verified Registry Modification captured from AST-PAYMENT-058 during investigation of DET-T1110-Brute_Force_38",f282a81eb8cabf0d
EVD-00011,ALT-000006,PCAP Stream,2026-07-16 06:14:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from SRV-DOMAIN-136 during investigation of DET-T1059-Command_and_Scripting_Interpreter_01",14575102c93a1f08
EVD-00012,ALT-000006,Authentication Token,2026-07-16 06:14:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from SRV-DOMAIN-136 during investigation of DET-T1059-Command_and_Scripting_Interpreter_01",7bede51d1e6cd89d
EVD-00013,ALT-000006,Registry Modification,2026-07-16 06:27:00,Active Directory Security Log 4624,"Verified Registry Modification captured from SRV-DOMAIN-136 during investigation of DET-T1059-Command_and_Scripting_Interpreter_01",444a651d0f6df64d
